QT_ING;QT_MAT;X3_MODALIDADE;Y_REDE
0;1;1;1
8;12;1;1
15;47;0;1
1;1;1;1
5;3;1;1
0;0;1;1
9;9;1;0
1;1;1;1
1;0;1;1
1;0;1;1
1;1;1;1
72;358;0;1
2;5;1;1
2;1;1;1
35;81;1;1
0;1;1;1
2;1;1;1
0;1;1;1
2;3;1;1
0;0;1;1
9;21;1;1
18;33;1;1
1;1;1;1
10;14;1;1
1;1;1;1
1;1;1;1
3;0;1;1
16;16;1;1
0;0;1;1
3;2;1;1
0;0;1;1
4;3;1;1
2;2;1;1
2;2;1;1
65;182;0;1
1;1;1;1
7;7;1;1
3;2;1;1
2;1;1;1
0;1;1;1
6;6;1;1
1;1;1;1
2;2;1;1
8;12;1;1
2;3;1;1
0;3;0;0
11;19;1;1
2;1;1;1
4;9;1;1
1;0;1;1
1;2;1;1
3;1;1;1
1;1;1;1
2;4;1;1
2;3;1;1
1;0;1;1
4;5;1;1
155;523;0;0
3;1;1;1
1;2;1;1
3;7;1;1
11;6;1;1
1;0;1;1
4;4;1;1
13;15;1;1
2;1;1;1
1;1;1;1
2;0;1;1
0;1;1;1
46;119;0;0
0;0;1;1
1;1;1;1
7;1;1;1
1;0;1;1
1;1;1;1
0;0;1;1
1;1;1;1
1;14;0;1
47;62;0;1
5;3;1;1
2;5;0;1
0;3;1;1
0;0;1;1
1;0;1;1
152;250;1;1
1;0;1;1
1;1;1;1
3;5;1;1
1;0;1;1
5;2;1;1
50;92;1;1
4;1;1;1
0;1;1;1
7;16;1;1
1;4;1;1
15;14;1;1
5;6;1;1
3;6;1;1
5;7;1;1
0;0;1;1
0;0;1;1
1;1;1;1
1;1;1;1
9;27;1;1
1;1;1;1
0;0;1;1
0;2;1;1
1;1;1;1
1;1;1;1
0;2;1;1
0;0;1;1
1;0;1;1
1;0;1;1
40;73;0;0
0;1;1;1
16;21;1;1
20;28;1;1
15;19;1;1
1;1;1;1
4;2;1;1
1;1;1;1
2;3;1;1
1;1;1;1
3;3;1;1
0;0;1;1
44;88;0;0
5;5;1;1
6;7;1;1
0;1;1;1
8;12;1;1
3;9;1;1
0;0;1;1
8;7;1;1
1;1;1;1
1;1;1;1
2;6;1;1
2;4;1;1
0;1;0;1
0;0;1;1
1;3;1;1
1;2;1;1
15;7;1;1
10;4;1;1
85;276;0;1
932;2285;0;1
1;1;1;1
2;3;1;1
1;1;1;1
8;16;1;1
0;0;1;1
168;540;0;1
52;183;0;1
1;3;1;1
2;0;1;1
1;1;1;1
0;1;1;1
8;12;1;1
2;4;1;1
1;1;1;1
1;1;1;1
0;2;1;1
10;13;1;1
0;0;1;1
1;3;1;1
0;0;1;1
5;5;1;1
4;3;1;0
0;1;1;1
1;1;1;1
2;0;1;1
6;6;1;1
16;49;1;1
19;26;1;1
0;1;1;1
0;2;1;1
1;1;1;1
1;1;1;1
1;1;1;1
1;1;1;1
15;58;0;1
3;2;1;1
6;8;1;1
1;1;1;1
63;367;0;0
5;8;1;1
1;3;1;1
2;2;1;1
83;167;0;1
7;8;1;1
1;1;1;1
41;95;0;0
0;0;1;1
0;9;0;1
3;2;1;1
35;14;0;0
1;0;1;1
0;3;1;1
2;3;1;1
10;5;1;1
2;1;1;1
1;2;1;1
0;1;1;1
