QT_ING;QT_MAT;X3_MODALIDADE;Y_REDE
1;2;1;1
131;331;1;1
3;3;1;1
3;1;1;1
6;6;1;1
3;2;1;1
1;1;1;1
5;5;1;1
0;1;1;1
3;2;1;1
1;2;1;1
0;1;1;1
0;1;1;1
0;4;1;1
13;10;1;1
1;1;1;1
6;6;1;1
1;1;1;1
1;0;1;1
68;152;1;1
1;1;1;1
1;1;1;1
22;27;1;1
5;5;1;1
1;0;1;1
1;1;1;1
0;1;1;0
80;306;0;0
1;0;1;1
93;226;0;1
0;1;1;1
22;17;1;1
0;22;1;0
0;0;1;1
2;1;1;1
1;1;1;1
67;490;0;0
0;4;1;1
44;41;1;1
0;2;1;1
1;2;1;1
2;1;1;1
2;0;1;1
6;8;1;1
3;3;1;1
1;5;0;1
6;8;1;1
1;0;1;1
64;246;0;0
36;32;1;1
49;49;1;1
23;41;0;1
1;2;1;1
2;2;1;1
19;15;1;1
2;2;1;1
1;4;1;1
1;1;1;1
2;1;1;1
0;0;1;1
1;1;1;1
5;5;1;1
1;1;1;1
3;3;1;1
15;22;1;1
14;23;1;1
39;111;0;0
19;67;0;1
9;5;1;1
20;32;1;1
7;7;1;1
1;6;1;1
5;6;1;1
3;4;1;1
67;64;1;1
0;2;1;1
40;131;0;1
4;4;1;1
136;110;0;1
9;12;0;1
24;83;0;0
1;2;1;1
7;5;1;1
5;6;1;1
2;2;1;1
13;8;1;1
1;0;1;1
1;0;1;1
19;22;1;1
53;24;1;1
1;0;1;1
1;1;1;1
15;13;1;1
3;6;1;1
2;1;1;1
1;3;1;1
4;3;1;1
1;1;1;1
4;4;1;1
1;0;1;1
2;2;1;1
1;0;1;1
3;1;1;1
22;46;1;1
1;1;1;1
1;1;1;1
7;5;1;1
0;0;1;1
7;8;1;1
0;0;1;1
29;185;0;0
18;19;1;1
3;3;1;1
1;1;1;0
0;0;1;1
1;1;1;0
22;22;1;1
51;119;0;1
0;1;1;1
0;2;1;1
25;93;0;0
1;3;1;1
16;20;1;1
0;0;1;1
21;38;0;1
3;3;1;1
1;0;1;1
1;1;1;1
1;0;1;1
32;32;1;1
0;2;1;1
19;10;1;1
188;187;1;1
3;3;1;1
8;12;1;1
2;15;1;1
1;3;1;1
4;5;1;1
1;1;1;1
1;0;1;1
82;77;0;1
11;9;1;1
31;85;0;0
14;28;1;1
6;4;1;1
2;2;1;1
7;8;1;1
0;0;1;1
15;15;1;1
8;8;1;1
1;1;1;1
1;4;1;1
2;2;1;1
2;1;1;1
4;2;1;1
1;0;1;1
1;0;1;1
55;346;0;0
18;19;1;1
1;1;1;1
0;0;1;1
3;3;1;1
0;0;1;1
0;2;1;1
1;1;1;1
0;1;1;1
16;8;1;1
3;2;1;1
214;445;0;1
1;1;1;1
0;2;1;1
0;4;1;1
3;3;1;1
19;36;1;1
2;3;1;1
0;3;1;1
1;2;1;1
2;2;1;1
2;7;1;1
2;2;1;1
2;2;1;1
0;1;1;1
2;2;1;1
1;1;1;1
3;3;1;1
4;4;1;1
0;1;1;1
0;1;1;1
4;1;1;1
166;520;0;0
11;849;1;1
25;76;1;1
0;1;1;1
0;0;1;1
0;0;1;1
2;5;1;1
0;1;1;1
6;0;0;1
1;1;1;1
2;2;1;1
1;1;1;1
4;4;1;1
7;16;1;1
16;21;1;1
1;1;1;1
35;53;1;1
2;3;1;1
2;2;1;1
1;2;1;1
0;1;1;1
0;0;1;1
18;25;1;1
39;224;0;0
69;175;0;1
5;6;1;1
6;5;1;1
3;8;1;1
7;11;1;1
20;19;1;1
4;4;1;1
